id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_industri_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp
3757928987,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757928981,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757928980,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757928954,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757928953,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757928945,91313799,7708.333333333333,12,False,17,863,5,2,3,27,7,36,17627,47,8415,51,0,1,0,0,0,0,0,1,1
3757928942,462732,8579.166666666666,0,False,51,341,5,4,3,27,36,36,14112,14,7342,51,0,1,0,0,0,0,0,1,1
3757928939,73013724,14791.666666666664,1,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757927997,6577380,5075.206666666667,0,False,116,48,5,4,1,23,24,36,7907,68,2199,51,0,1,0,0,0,0,0,1,1
3757927994,1312785,5750.0,0,False,68,1253,5,1,1,31,36,36,1268,31,9430,51,0,1,0,0,0,0,0,1,1
3757927991,90486854,13333.333333333334,0,False,14,0,5,3,1,31,36,36,7210,33,10406,1,0,1,0,0,0,0,0,1,1
3757927987,82556159,4750.0,0,True,31,3,5,2,1,21,22,36,14759,32,5966,51,0,1,0,0,0,0,0,1,1
3757927968,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757927965,0,7810.833333333334,2,False,15,0,5,4,3,14,36,36,16936,55,9593,53,0,1,0,0,0,0,0,1,1
3757927949,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757927940,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757927939,91313799,10864.583333333334,1,False,4,863,5,4,3,30,24,23,9333,64,8415,51,0,1,0,0,0,0,0,1,1
3757927855,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757927838,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757927797,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757924571,115364,4791.666666666667,1,False,69,661,5,2,1,14,36,36,7372,23,2593,51,0,1,0,0,0,0,0,1,1
3757924400,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757924397,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757924360,1595517,7500.0,0,False,104,89,5,4,1,31,36,36,20292,65,7125,20,0,1,0,0,0,0,0,1,1
3757924082,53395150,10864.583333333334,12,True,4,2,5,4,1,16,21,36,17502,64,9926,42,0,1,0,0,0,0,0,1,1
3757924020,2908367,14791.666666666664,0,False,137,1849,5,4,1,13,36,36,15846,34,10315,51,0,1,0,0,0,0,0,1,1
3757923657,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757923650,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757923408,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757923224,77185102,9166.666666666666,1,False,96,103,2,4,3,34,36,36,17348,35,2872,51,1,0,0,0,0,0,0,1,1
3757923117,100742897,5479.166666666667,5,True,91,0,2,4,3,16,3,6,11222,19,1728,1,0,0,0,0,1,0,0,1,1
3757923088,8986045,8062.479166666666,0,False,57,0,5,2,1,23,24,36,6230,53,2998,51,0,1,0,0,0,0,0,1,1
3757922739,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757922476,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
