id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_enconded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3693596642,450323.0,5984.0,48.0,1.0,47.0,82.0,2,3,3,35,30,20,11224,7926,51,0,0,0,0,1,0,0,1,1,1
3693053152,11229.0,7500.0,2.0,0.0,47.0,4871.0,5,2,2,30,36,36,6918,9673,51,0,1,0,0,0,0,0,1,1,1
3749352917,3743.0,5456.0,0.0,0.0,47.0,17859.0,2,4,1,17,18,36,2603,7315,51,0,1,0,0,0,0,0,1,1,1
3756799726,10616113.0,7500.0,0.0,1.0,47.0,166.0,5,4,3,30,20,36,16359,7081,51,0,1,0,0,0,0,0,1,1,1
3749353577,3743.0,14154.166666666666,9.0,0.0,47.0,17859.0,5,4,1,16,3,6,3679,7315,51,0,1,0,0,0,0,0,1,1,1
3694112397,1038.0,7500.0,0.0,0.0,47.0,84960.0,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3755588389,14648088.0,7500.0,1.0,1.0,47.0,186.0,5,4,3,30,20,36,17140,1264,51,0,1,0,0,0,0,0,1,1,1
3701197838,43325.0,4737.92,48.0,1.0,47.0,799.0,2,4,3,30,20,36,570,8211,51,1,0,0,0,0,0,0,1,1,1
3757487365,1028156.0,7500.0,0.0,0.0,47.0,304.0,2,4,2,27,34,36,285,4174,51,1,0,0,0,0,0,0,1,1,1
3693049510,11229.0,7500.0,3.0,0.0,47.0,4871.0,5,2,2,30,36,36,2296,9673,51,0,1,0,0,0,0,0,1,1,1
3749352916,3743.0,5456.0,0.0,0.0,47.0,17859.0,2,4,1,30,20,36,1827,7315,51,0,1,0,0,0,0,0,1,1,1
3693068950,13333.0,5000.0,0.0,0.0,47.0,319.0,5,4,3,30,20,23,9207,5156,51,0,1,0,0,0,0,0,1,1,1
3755580850,166264.0,9240.0,2.0,0.0,47.0,504.0,2,4,3,30,20,36,16562,8758,51,0,1,0,0,0,0,0,1,1,1
3754506096,2432.0,7500.0,1.0,0.0,47.0,13783.0,5,4,1,29,36,36,1753,3766,51,0,1,0,0,0,0,0,1,1,1
3694105003,142596.0,6458.333333333333,1.0,0.0,47.0,60.0,5,4,3,30,20,36,16095,2482,51,0,1,0,0,0,0,0,1,1,1
3757454386,83974017.0,8125.0,0.0,0.0,47.0,10.0,5,3,3,30,36,36,4018,8290,51,0,1,0,0,0,0,0,1,1,1
3757454386,83974017.0,8125.0,0.0,0.0,47.0,10.0,5,3,3,30,36,36,4018,8290,51,0,1,0,0,0,0,0,1,1,1
3697383621,111283.0,7500.0,1.0,0.0,47.0,150.0,2,1,1,30,20,36,582,1329,51,0,0,1,0,0,0,0,1,1,1
3694104087,11229.0,10000.0,1.0,0.0,47.0,4871.0,5,6,2,30,20,36,4018,9673,51,0,1,0,0,0,0,0,1,1,1
3757487080,777243.0,3432.0,0.0,0.0,47.0,329.0,5,4,3,30,20,36,7778,788,51,0,1,0,0,0,0,0,1,1,1
3701327001,5323389.0,7500.0,1.0,0.0,47.0,10.0,5,4,3,30,20,36,18927,3969,51,0,1,0,0,0,0,0,1,1,1
3755585527,1681.0,3520.0,0.0,0.0,47.0,29372.0,2,4,3,30,36,36,624,7579,51,1,0,0,0,0,0,0,1,1,1
3757452114,777243.0,7500.0,0.0,0.0,47.0,329.0,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3694101692,11229.0,7500.0,1.0,0.0,47.0,4871.0,5,4,2,30,20,36,16021,9673,51,0,1,0,0,0,0,0,1,1,1
3697398595,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,36,1849,1876,51,0,1,0,0,0,0,0,1,1,1
3757489090,1215629.0,11458.333333333334,1.0,0.0,47.0,490.0,5,3,3,30,36,36,18972,842,51,0,1,0,0,0,0,0,1,1,1
3757730988,777243.0,7083.333333333333,0.0,0.0,47.0,329.0,5,4,3,30,20,36,16021,788,51,0,1,0,0,0,0,0,1,1,1
3693055169,11229.0,7500.0,35.0,0.0,47.0,4871.0,5,4,2,30,36,36,16478,9673,51,0,1,0,0,0,0,0,1,1,1
3749352943,1038.0,13500.0,0.0,0.0,47.0,84960.0,5,4,1,13,36,36,12296,2581,42,0,1,0,0,0,0,0,1,1,1
3757449602,2913349.0,7500.0,0.0,0.0,47.0,135.0,5,4,3,23,30,36,18949,1239,51,0,1,0,0,0,0,0,1,1,1
3757450529,777243.0,7500.0,0.0,0.0,47.0,329.0,5,4,3,30,36,36,17134,788,51,0,1,0,0,0,0,0,1,1,1
3701360810,5507.0,7500.0,30.0,0.0,47.0,8996.0,5,4,1,13,36,36,3989,2374,51,0,1,0,0,0,0,0,1,1,1
3701304475,11554520.0,7500.0,35.0,1.0,47.0,10.0,5,3,3,30,20,19,7924,2210,1,0,1,0,0,0,0,0,1,1,1
3757484616,6994834.0,7500.0,2.0,1.0,47.0,7226.0,5,4,1,23,24,36,2763,3172,51,0,1,0,0,0,0,0,1,1,1
3755594163,100027377.0,7500.0,1.0,0.0,47.0,10.0,5,4,3,30,20,36,7252,7379,51,0,1,0,0,0,0,0,1,1,1
3756134295,16742.0,6354.166666666667,2.0,0.0,47.0,1718.0,5,2,1,30,20,36,1765,998,51,0,1,0,0,0,0,0,1,1,1
3749346750,52176410.0,7500.0,3.0,0.0,47.0,27.0,5,3,3,30,20,36,17078,8752,51,0,1,0,0,0,0,0,1,1,1
3701327001,5323389.0,7500.0,1.0,0.0,47.0,10.0,5,4,3,30,20,36,18927,3969,51,0,1,0,0,0,0,0,1,1,1
3757731544,139626.0,9583.333333333334,1.0,1.0,47.0,74.0,5,4,1,34,29,36,16972,490,51,0,1,0,0,0,0,0,1,1,1
3693587384,2119128.0,7500.0,8.0,0.0,47.0,10.0,5,4,3,30,20,7,10124,9049,51,0,1,0,0,0,0,0,1,1,1
3757494072,165302.0,7500.0,8.0,0.0,47.0,7460.0,5,5,3,35,23,30,5174,6448,51,0,1,0,0,0,0,0,1,1,1
3757742875,48915.0,6458.333333333333,1.0,0.0,47.0,67.0,5,3,3,30,36,36,18261,2710,51,0,1,0,0,0,0,0,1,1,1
3694102993,3807582.0,7500.0,0.0,0.0,47.0,68.0,5,4,3,30,20,36,18624,2296,51,0,1,0,0,0,0,0,1,1,1
3701197969,1215629.0,10560.0,0.0,1.0,47.0,490.0,2,4,1,30,20,36,1196,842,51,0,0,0,0,0,1,0,1,1,1
3757462866,1302410.0,5208.333333333333,0.0,0.0,47.0,11.0,5,4,3,30,20,36,586,9938,51,0,1,0,0,0,0,0,1,1,1
3757906424,79098.0,3520.0,0.0,0.0,47.0,185.0,2,2,1,27,34,36,6948,500,51,1,0,0,0,0,0,0,1,1,1
3693070590,1518461.0,13125.0,3.0,0.0,47.0,21.0,5,6,3,30,20,36,17142,7027,51,0,1,0,0,0,0,0,1,1,1
3757461838,1215629.0,8020.833333333333,2.0,0.0,47.0,490.0,5,4,3,30,36,36,16119,842,51,0,1,0,0,0,0,0,1,1,1
3694102843,5235.0,5208.333333333333,0.0,0.0,47.0,12986.0,5,3,3,20,30,36,18294,5053,51,0,1,0,0,0,0,0,1,1,1
3749349578,77723613.0,14500.0,4.0,0.0,47.0,10.0,5,4,3,30,20,36,6820,6540,51,0,1,0,0,0,0,0,1,1,1
3693046685,11229.0,7500.0,48.0,1.0,47.0,4871.0,2,4,2,30,36,36,12236,9673,51,1,0,0,0,0,0,0,1,1,1
3757449077,2166352.0,7500.0,0.0,0.0,47.0,62.0,5,4,3,30,20,36,17131,9734,51,0,1,0,0,0,0,0,1,1,1
3755586021,4872007.0,14500.0,4.0,0.0,47.0,144.0,5,4,3,30,20,36,7268,853,51,0,1,0,0,0,0,0,1,1,1
3757454008,777243.0,7500.0,0.0,0.0,47.0,329.0,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757902845,79098.0,8750.0,1.0,0.0,47.0,185.0,5,4,1,34,36,36,16539,500,51,0,1,0,0,0,0,0,1,1,1
3755581831,5235.0,5208.333333333333,3.0,0.0,47.0,12986.0,5,3,3,30,20,36,624,5053,51,0,1,0,0,0,0,0,1,1,1
3755588389,14648088.0,7500.0,1.0,1.0,47.0,186.0,5,4,3,30,20,36,17140,1264,51,0,1,0,0,0,0,0,1,1,1
3749353577,3743.0,14154.166666666666,9.0,0.0,47.0,17859.0,5,4,1,16,3,6,3679,7315,51,0,1,0,0,0,0,0,1,1,1
3757490562,18487.0,8750.0,0.0,0.0,47.0,3102.0,5,4,1,30,20,36,18949,2907,51,0,1,0,0,0,0,0,1,1,1
3694111606,3743.0,7500.0,0.0,0.0,47.0,17859.0,5,4,1,30,20,36,6612,7315,51,0,1,0,0,0,0,0,1,1,1
3757461838,1215629.0,8020.833333333333,2.0,0.0,47.0,490.0,5,4,3,30,36,36,16119,842,51,0,1,0,0,0,0,0,1,1,1
