id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,singkatan_kemampuanencoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_terformat_encoded,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757495367,2642977,9166.666666666666,3,True,47,9,5,4,3,23,17761,253,48,2,1,1,1
3757495367,2642977,9166.666666666666,3,True,47,9,5,4,3,30,17761,253,48,2,1,1,1
3757495089,18401,4315.52,2,False,47,2125,2,3,1,25,5203,1722,48,2,1,1,1
3757495089,18401,4315.52,2,False,47,2125,2,3,1,6,5203,1722,48,2,1,1,1
3757495089,18401,4315.52,2,False,47,2125,2,3,1,35,5203,1722,48,2,1,1,1
3757494888,3217283,7500.0,0,False,47,6,5,4,1,30,11744,7714,48,2,1,1,1
3757494888,3217283,7500.0,0,False,47,6,5,4,1,20,11744,7714,48,2,1,1,1
3757494211,777243,5208.333333333333,6,False,47,329,5,3,3,30,526,723,48,2,1,1,1
3757494072,165302,7500.0,8,False,47,7460,5,5,3,35,4838,5899,48,2,1,1,1
3757494072,165302,7500.0,8,False,47,7460,5,5,3,23,4838,5899,48,2,1,1,1
3757494072,165302,7500.0,8,False,47,7460,5,5,3,30,4838,5899,48,2,1,1,1
3757493186,248184,5625.0,0,False,47,763,5,2,3,30,17091,2167,48,2,1,1,1
3757491854,10279077,5896.0,11,False,47,47,2,3,3,30,6386,178,48,1,1,1,1
3757491854,10279077,5896.0,11,False,47,47,2,3,3,19,6386,178,48,1,1,1,1
3757491854,10279077,5896.0,11,False,47,47,2,3,3,29,6386,178,48,1,1,1,1
3757490859,17099,11750.0,5,True,47,1140,5,4,1,20,15208,5165,48,2,1,1,1
3757490859,17099,11750.0,5,True,47,1140,5,4,1,21,15208,5165,48,2,1,1,1
3757490640,777243,7916.666666666667,0,False,47,329,5,4,3,30,17741,723,48,2,1,1,1
3757490640,777243,7916.666666666667,0,False,47,329,5,4,3,20,17741,723,48,2,1,1,1
3757490562,18487,8750.0,0,False,47,3102,5,4,1,30,17741,2679,48,2,1,1,1
3757490562,18487,8750.0,0,False,47,3102,5,4,1,20,17741,2679,48,2,1,1,1
3757490196,2712059,4048.0,0,False,47,78,2,3,1,35,672,2125,48,2,1,1,1
3757489631,16198955,7500.0,0,False,47,306,2,2,3,30,11883,360,48,1,1,1,1
3757489631,16198955,7500.0,0,False,47,306,2,2,3,26,11883,360,48,1,1,1,1
3757489631,16198955,7500.0,0,False,47,306,2,2,3,35,11883,360,48,1,1,1,1
3757489090,1215629,11458.333333333334,1,False,47,490,5,3,3,30,17762,774,48,2,1,1,1
3757488355,1215629,9812.5,0,False,47,490,5,3,3,30,17763,774,48,2,1,1,1
3757488227,777243,10833.333333333334,2,False,47,329,5,4,3,30,14985,723,48,2,1,1,1
3757488227,777243,10833.333333333334,2,False,47,329,5,4,3,20,14985,723,48,2,1,1,1
3757488227,777243,10833.333333333334,2,False,47,329,5,4,3,35,14985,723,48,2,1,1,1
3757488163,1028156,7500.0,0,False,47,304,2,4,2,28,276,3825,48,1,1,1,1
3757487722,1215629,11458.333333333334,0,False,47,490,5,3,3,30,526,774,48,2,1,1,1
3757487603,5403271,3696.0,0,False,47,62,2,3,3,30,2070,2885,48,2,1,1,1
3757487365,1028156,7500.0,0,False,47,304,2,4,2,27,277,3825,48,1,1,1,1
3757487365,1028156,7500.0,0,False,47,304,2,4,2,34,277,3825,48,1,1,1,1
3757487080,777243,2958.333333333333,0,False,47,329,5,4,3,30,7251,723,48,2,1,1,1
3757487080,777243,2958.333333333333,0,False,47,329,5,4,3,20,7251,723,48,2,1,1,1
3757486249,15862365,8958.333333333334,8,False,47,7,5,4,3,29,278,5989,48,2,1,1,1
3757486249,15862365,8958.333333333334,8,False,47,7,5,4,3,30,278,5989,48,2,1,1,1
3757486148,777243,7500.0,2,False,47,329,5,3,3,30,17177,723,48,2,1,1,1
3757486148,777243,7500.0,2,False,47,329,5,3,3,20,17177,723,48,2,1,1,1
3757484616,6994834,7500.0,2,True,47,7226,5,4,1,23,2581,2909,48,2,1,1,1
3757484616,6994834,7500.0,2,True,47,7226,5,4,1,24,2581,2909,48,2,1,1,1
3757484472,1215629,8437.5,4,False,47,490,5,4,3,30,15083,774,48,2,1,1,1
3757484449,1028156,7500.0,0,False,47,304,2,4,2,31,19043,3825,48,1,1,1,1
3757483248,72298250,8541.666666666666,0,False,47,2,5,4,3,30,17065,2946,1,2,1,1,1
3757483248,72298250,8541.666666666666,0,False,47,2,5,4,3,20,17065,2946,1,2,1,1,1
3757482933,37520,4840.0,0,False,47,212,2,4,1,30,2150,8210,48,1,1,1,1
3757482850,1215629,8625.0,6,False,47,490,5,4,3,30,3661,774,48,2,1,1,1
3757482850,1215629,8625.0,6,False,47,490,5,4,3,20,3661,774,48,2,1,1,1
3757480507,43325,11433.84,5,True,47,799,2,4,2,30,14271,7504,48,1,1,1,1
3757480507,43325,11433.84,5,True,47,799,2,4,2,20,14271,7504,48,1,1,1,1
3757476858,2254994,8541.666666666666,4,False,47,123,5,4,3,30,14985,1897,48,2,1,1,1
3757475882,1633447,8125.0,2,False,47,16,5,4,3,30,14992,5675,48,2,1,1,1
3757475882,1633447,8125.0,2,False,47,16,5,4,3,20,14992,5675,48,2,1,1,1
3757475882,1633447,8125.0,2,False,47,16,5,4,3,19,14992,5675,48,2,1,1,1
3757474401,16198955,7500.0,0,False,47,306,2,2,3,30,11883,360,48,1,1,1,1
3757474401,16198955,7500.0,0,False,47,306,2,2,3,26,11883,360,48,1,1,1,1
3757474401,16198955,7500.0,0,False,47,306,2,2,3,35,11883,360,48,1,1,1,1
3757473401,0,7083.333333333333,1,False,47,0,5,3,3,30,2150,8779,49,2,1,1,1
3757473401,0,7083.333333333333,1,False,47,0,5,3,3,20,2150,8779,49,2,1,1,1
3757471247,777243,6666.666666666667,0,False,47,329,5,4,3,30,12622,723,48,2,1,1,1
3757471247,777243,6666.666666666667,0,False,47,329,5,4,3,35,12622,723,48,2,1,1,1
3757469150,44315,7500.0,0,True,47,67,5,3,3,20,15224,3667,48,2,1,1,1
3757469150,44315,7500.0,0,True,47,67,5,3,3,30,15224,3667,48,2,1,1,1
3757469150,44315,7500.0,0,True,47,67,5,3,3,19,15224,3667,48,2,1,1,1
3757468744,0,4791.666666666667,3,False,47,0,5,3,2,30,593,8779,49,2,1,1,1
3757468744,0,4791.666666666667,3,False,47,0,5,3,2,20,593,8779,49,2,1,1,1
3757468594,88652973,5500.0,15,True,47,1,2,3,3,20,526,3706,48,5,1,1,1
3757468594,88652973,5500.0,15,True,47,1,2,3,3,30,526,3706,48,5,1,1,1
3757468349,1901416,7291.666666666667,15,True,47,355,5,4,3,30,14993,8668,48,2,1,1,1
3757468349,1901416,7291.666666666667,15,True,47,355,5,4,3,25,14993,8668,48,2,1,1,1
3757468200,35088,10416.666666666666,0,True,47,852,5,4,1,29,6043,4486,48,2,1,1,1
3757468200,35088,10416.666666666666,0,True,47,852,5,4,1,34,6043,4486,48,2,1,1,1
3757468200,35088,10416.666666666666,0,True,47,852,5,4,1,21,6043,4486,48,2,1,1,1
3757468011,2913349,7500.0,6,False,47,135,5,4,3,30,10753,1135,48,2,1,1,1
3757468011,2913349,7500.0,6,False,47,135,5,4,3,20,10753,1135,48,2,1,1,1
3757466997,1901416,10000.0,15,True,47,355,5,4,3,30,6786,8668,48,2,1,1,1
3757466997,1901416,10000.0,15,True,47,355,5,4,3,25,6786,8668,48,2,1,1,1
3757466247,1901416,7291.666666666667,15,True,47,355,5,5,3,30,14991,8668,48,2,1,1,1
3757464983,35088,7500.0,0,False,47,852,5,4,1,34,15486,4486,48,2,1,1,1
3757464680,6044,4400.0,15,True,47,1989,2,3,3,30,17687,9322,48,2,1,1,1
3757464202,777243,5625.0,4,False,47,329,5,3,3,30,8334,723,48,2,1,1,1
3757463081,777243,7500.0,2,False,47,329,5,3,3,24,526,723,48,2,1,1,1
3757463081,777243,7500.0,2,False,47,329,5,3,3,30,526,723,48,2,1,1,1
3757462866,1302410,5208.333333333333,0,False,47,11,5,4,3,30,557,9098,48,2,1,1,1
3757462866,1302410,5208.333333333333,0,False,47,11,5,4,3,20,557,9098,48,2,1,1,1
3757461838,1215629,8020.833333333333,2,False,47,490,5,4,3,30,15083,774,48,2,1,1,1
3757459104,83974017,3960.0,3,False,47,4,2,3,3,30,608,7576,48,2,1,1,1
3757458620,83974017,8083.333333333333,0,False,47,4,5,3,3,30,2854,7576,48,2,1,1,1
3757457547,28745,7500.0,0,False,47,636,5,3,3,35,17725,4479,48,2,1,1,1
3757457297,1082195,7500.0,1,False,47,96,5,3,3,30,17728,2874,48,2,1,1,1
3757457297,1082195,7500.0,1,False,47,96,5,3,3,20,17728,2874,48,2,1,1,1
3757456283,2712059,4048.0,0,False,47,78,2,3,1,35,14489,2125,48,2,1,1,1
3757455736,83974017,7500.0,1,False,47,4,5,3,3,30,557,7576,48,2,1,1,1
3757454386,83974017,8125.0,0,False,47,4,5,3,3,30,3768,7576,48,2,1,1,1
3757454008,777243,7500.0,0,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757453442,777243,7500.0,4,False,47,329,2,4,3,30,3768,723,48,1,1,1,1
3757453433,16690,7500.0,0,False,47,2142,2,2,3,30,17719,2003,48,1,1,1,1
3757453433,16690,7500.0,0,False,47,2142,2,2,3,20,17719,2003,48,1,1,1,1
3757453433,16690,7500.0,0,False,47,2142,2,2,3,19,17719,2003,48,1,1,1,1
3757453052,41255,7708.333333333333,0,False,47,90,5,4,3,30,16029,6053,48,2,1,1,1
3757453052,41255,7708.333333333333,0,False,47,90,5,4,3,20,16029,6053,48,2,1,1,1
3757453050,777243,7500.0,1,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757453037,777243,7500.0,0,False,47,329,5,3,3,30,16035,723,48,2,1,1,1
3757453032,777243,7500.0,0,False,47,329,5,3,3,30,16035,723,48,2,1,1,1
3757452504,16227,7500.0,0,False,47,180,5,3,3,35,19210,9433,48,2,1,1,1
